Week,ADJ Movie Rank,ADJ AVG,Netflix,Prime,HBO Go
1,Shaun of the Dead,6.99,X,3.99,X
2,Gattaca,6.69,X,3.99,X
3,Taxi Driver,6.68,X,3.99,X
4,Airplane!,6.6,X,3.99,X
5,District 9,6.58,✓,-,-
6,Donnie Darko,6.3,X,X,X
7,Goodfellas,6.28,X,3.99,X
8,Return of the Dragon,6.28,X,2.99,X
9,Annihilation,6.24,X,✓,-
10,Halloween,6.24,X,3.99,X
11,Shawshank Redemption,6.24,X,✓,-
12,Apocalypse Now,6.08,✓,-,-
13,Coco,5.99,✓,-,-
14,12 Monkeys,5.94,X,3.99,X
15,Matrix,5.89,X,3.99,X
16,Blazing Saddles,5.87,X,3.99,X
17,Blade Runner 2049,5.85,X,9.99,X
18,Escape from New York,5.77,X,3.99,X
19,Scott Pilgrim,5.64,✓,-,-
20,Hoop Dreams,5.63,X,✓,-
21,Dazed and Confused,5.61,X,3.99,X
22,Bourne,5.58,X,3.99,✓
23,Dredd,5.58,X,3.99,X
24,Usual Suspects,5.58,X,3.99,X
25,Warriors,5.56,X,3.99,X
26,City of God,5.54,✓,-,-
27,Zodiac,5.53,✓,-,-
28,Accident Man,5.49,X,3.99,X
29,Hot Fuzz,5.49,✓,-,-
30,The Fight Club,5.47,X,3.99,X
31,Old School,5.46,X,3.99,X
32,Basic Instinct,5.44,X,X,X
33,Bill and Ted,5.37,X,2.99,X
34,Easy A,5.37,X,3.99,X
35,Saw,5.36,X,3.99,X
36,Crazy Rich Asians,5.35,X,5.99,X
37,The Jerk,5.35,X,3.99,X
38,Set it Up,5.29,✓,-,-
39,Forrest Gump,5.27,X,3.99,X
40,Cool Hand Luke,5.24,✓,-,-
41,Incredibles 2,5.22,✓,-,-
42,Reservoir Dogs,5.22,X,2.99,X
43,American Gangster,5.21,✓,-,-
44,The Naked Gun,5.17,X,3.99,X
45,Gangs Of New York,5.15,X,2.99,X
46,In Bruges,5.14,✓,-,-
47,Scream,5.08,X,3.99,X
48,Ghost in the Shell (1995),5.01,X,2.99,X
49,Moonrise Kingdom,5,X,3.99,X
50,Her,4.91,✓,-,-
51,Primer,4.9,X,3.99,X
52,Creed 2,4.87,X,5.99,X
53,True Romance,4.85,X,✓,-
54,You Were Never Really Here,4.81,X,✓,-
55,V for Vendetta,4.76,✓,-,-
56,Cloud Atlas,4.74,✓,-,-
57,Time Lapse,4.63,X,✓,-
58,Hot Rod,4.52,X,3.99,X
59,Gone Girl,4.5,X,3.99,X
60,Keanu,4.46,X,X,X
61,War Machine,4.46,✓,-,-
62,Venom,4.43,X,19.99,X
63,The Farthest Voyager in Space,4.29,✓,-,-
64,Widows,4.23,X,5.99,X
65,Dune,4.17,X,✓,-
66,"Cornbread, Earl, and Me",4.16,X,X,X
67,Logan’s Run,4.14,✓,-,-
68,Taken,4.11,X,3.99,X
69,The Informant,3.96,✓,-,-
70,"Hail, Caesar",3.89,X,3.99,X
71,Atomic Blonde,3.77,X,3.99,X
72,It,3.73,X,9.99,X
73,Place Beyond the Pines,3.69,✓,-,-
74,Black Panther,3.64,✓,-,-
75,The Founder,3.49,✓,-,-
76,Bumblebee,3.42,X,4.99,X
77,Get Me Roger Stone,3.4,✓,-,-
78,Justice League,3.29,X,10.99,X
79,Rampage,2.37,X,14.99,✓
80,Keith,2.32,X,✓,-
81,Pitch Perfect 3,1.64,X,14.99,✓
