Movie,Givnos,Jaminos,Jerminos,Joaquinos,Marquinos,Mohinos
12 Monkeys,9,7,8,5,3,7
Accident Man,5,7,5,6,6,7
Airplane!,7,7,6,7,8,8
American Gangster,4,6,9,6,4,6
Annihilation,10,4,7,3,5,6
Apocalypse Now,8,2,6,9,6,8
Atomic Blonde,7,2,3,3,3,6
Basic Instinct,5,7,7,6,2,9
Bill and Ted,6,6,5,4,7,7
Black Panther,5,2,6,3,6,2
Blade Runner 2049,4,7,9,5,5,9
Blazing Saddles,4,5,4,10,5,5
Bourne,7,7,8,5,5,5
Bumblebee,2,7,3,4,3,4
City of God,7,3,7,7,4,8
Cloud Atlas,4,5,9,7,3,4
Coco,6,8,9,5,8,4
Cool Hand Luke,4,7,8,3,5,8
"Cornbread, Earl, and Me",3,3,3,5,7,6
Crazy Rich Asians,4,9,8,2,7,6
Creed 2,4,9,2,6,5,6
Dazed and Confused,7,7,2,6,6,8
District 9,9,7,8,5,5,9
Donnie Darko,9,7,6,8,6,5
Dredd,6,6,8,7,5,5
Dune,4,4,8,2,6,4
Easy A,8,2,9,2,7,7
Escape from New York,6,5,8,7,5,7
Forrest Gump,7,7,3,3,6,8
Gangs Of New York,7,6,2,6,4,8
Gattaca,7,6,10,6,4,6
Get Me Roger Stone,3,2,3,3,3,8
Ghost in the Shell (1995),6,5,7,5,2,8
Gone Girl,7,7,2,2,3,8
Goodfellas,7,7,6,7,7,7
"Hail, Caesar",3,2,2,6,6,6
Halloween,6,7,2,6,10,4
Her,5,2,7,3,6,9
Hoop Dreams,5,5,7,6,7,7
Hot Fuzz,5,2,8,7,9,5
Hot Rod,6,2,4,3,9,5
In Bruges,7,6,2,6,6,6
Incredibles 2,4,8,8,3,4,8
It,3,2,2,5,7,5
Justice League,4,7,3,2,3,3
Keanu,6,5,4,2,6,6
Keith,5,2,2,2,2,2
Logan’s Run,5,2,6,2,5,7
Matrix,8,2,7,6,8,7
Moonrise Kingdom,4,4,7,4,7,7
Old School,6,5,8,3,8,6
Pitch Perfect 3,2,8,2,1,2,2
Place Beyond the Pines,7,5,3,4,3,2
Primer,8,4,7,3,4,6
Rampage,2,8,4,4,3,1
Return of the Dragon,6,7,6,4,9,9
Reservoir Dogs,6,7,4,4,6,7
Saw,4,10,1,7,7,6
Scott Pilgrim,6,7,6,4,7,7
Scream,5,7,2,6,8,5
Set it Up,6,7,2,2,8,9
Shaun of the Dead,8,7,9,9,7,6
Shawshank Redemption,8,2,6,9,7,8
Taken,5,8,2,4,3,5
Taxi Driver,5,4,6,7,6,10
The Farthest Voyager in Space,7,2,7,2,4,6
The Fight Club,8,2,5,6,7,7
The Founder,4,3,5,3,2,6
The Informant,4,3,5,5,3,6
The Jerk,5,3,7,6,7,7
The Naked Gun,5,3,2,8,8,7
Time Lapse,9,6,4,4,3,4
True Romance,4,8,4,4,4,8
Usual Suspects,8,2,7,7,3,9
Venom,8,8,3,5,3,2
V for Vendetta,5,2,6,7,4,7
War Machine,5,4,4,6,4,6
Warriors,6,4,5,7,6,8
Widows,3,8,3,3,4,7
You Were Never Really Here,7,7,2,4,3,8
Zodiac,7,5,6,6,5,7
